Energy (eV),Absorption (OD),EA 20 kV/cm (mOD),EA 30 kV/cm (mOD),EA 40 kV/cm (mOD),EA 50 kV/cm (mOD),EA 60 kV/cm (mOD),EA 70 kV/cm (mOD),EA 80 kV/cm (mOD)
3.5424055142857145,1.524559624434344,-0.47633755757065976,0.057138154514143884,-0.014317610046097731,0.12651468902126412,-0.048262456385075383,0.07233072167701264,-0.1289184051422224
3.532313190883191,1.5276519804862632,-0.10225564087895342,-0.04055547284406052,-0.0028777520983510533,-0.03640641330219623,-0.04711382147482951,0.050797032391718525,0.02503014927416699
3.522278210227273,1.523881715207949,-0.09256962206819279,0.04849230157458309,0.030809885147436017,-0.009464810513381194,-0.10461002588179646,0.07821771376010365,0.03390547160853895
3.512300084985836,1.521897597547043,-0.040415791171348886,0.011935562098956267,0.08219425804815914,-0.061254240137050754,-0.17125023987967236,0.04177514486156325,-0.0606859955699148
3.5023783333333336,1.522336166789085,0.04354476486500387,-0.032026142707194276,0.057680370572204064,-0.11781393251038744,-0.05004033112698529,0.017830385371707058,-0.025251349270085263
3.49251247887324,1.521755783362857,-0.008611770663958868,-0.030231129126422385,-0.09993375781107347,-0.09550794114404217,-0.09321981666048158,0.007557904391731107,0.10078703366744024
3.482702050561798,1.5230291950882309,-0.021170322783805106,0.02798207447227893,-0.037195426005436745,-0.05189316855075786,-0.11001907279900623,-0.006096105261326384,0.0359583390348236
3.4729465826330532,1.5232226224431318,0.02288124178441386,-0.0053167744531026516,0.0060228232716727035,0.007089083177959775,-0.01648338607209442,0.02064781086273308,-0.04983835375065475
3.46324561452514,1.519921281343203,0.12078269319485647,0.16183493459218715,-0.030362378706615886,0.001372444087931343,0.035416717472971954,-0.0009431175967054418,-0.07805033040480644
3.4535986908077994,1.5211268577114283,0.07181175884344104,0.14405592744940374,-0.058098751355327535,0.07529771210719306,-0.027637513104329395,0.025791989888185592,-0.04655364736992887
3.4440053611111114,1.521712159084908,0.07978820771733447,-0.002641965597508178,0.06369262251522571,-0.0014153436831859812,-0.005742235492358223,0.05961480660776707,0.0033563914395162795
3.4344651800554016,1.5200614992800932,0.011304323645890799,-0.11489837201632114,-0.002276646181497669,0.026069799531885606,0.01912131951692246,-0.0027109039827404994,-0.0025529904324575856
3.4249777071823204,1.5217306685724525,-0.04163160178934211,-0.08231907787052158,0.00012909293357093112,-0.0062738858413509185,-0.07702679605703118,0.0682762717784338,-0.0023624012903302235
3.4155425068870526,1.5219269009667256,-0.013841634500750578,-0.06460111744002671,-0.058363814676401476,0.05110421692722498,-0.00931210874915796,-0.1912474548024538,-0.014739948646505852
3.4061591483516485,1.5220475594153255,-0.016518870249688497,-0.02285700777724981,-0.0660861711202169,-0.056758643095633214,0.02154776669898541,-0.17384861258137627,0.009142949396980208
3.396827205479452,1.524514480821767,0.005638862055360583,-0.05584257717984398,-0.035865445851713224,-0.09629135831692956,-0.03417132844288841,-0.04796532200937509,0.03521328597640918
3.387546256830601,1.5263943084627596,0.13893377731428186,-0.1160857217115988,-0.011326879147303378,-0.11459157091785968,0.02286762744664645,0.06571032002860304,-0.006582661660663387
3.378315885558583,1.5252029993041136,-0.009703261249378243,-0.06181778760202736,-0.007816851537509719,-0.014710629309187677,0.03654099849433962,-0.004799717637238972,-0.0007384226470653186
3.3691356793478264,1.520886914093571,0.023292714055809776,-0.03220075194127476,-0.010871193139902568,-0.09556239747280584,-0.009789655630976734,-0.02412840304089415,0.009444091457275195
3.3600052303523036,1.511758114183147,0.07845543153250975,-0.0056569151593507,-0.031208182175463377,-0.06067172888382068,-0.052133705646171626,-0.026200178500074087,-0.06120336184993793
3.350924135135135,1.5155130702772315,0.0832831125407868,-0.05237681575238606,-0.01801970770687171,0.009881924098894681,-0.03564478510135539,-0.01743851011437912,-0.14231176593503214
3.3418919946091648,1.516560317649423,0.02278950445717133,-0.06970552024382136,-0.008550961972118298,-0.00151825827029555,0.0173865217599068,-0.04553669635186426,-0.07437667601460692
3.332908413978495,1.5219152229986077,-0.009718719882401337,-0.04957356534808997,-0.04207729979275489,0.029732250038633643,0.050356867094489555,0.010009087950724109,-0.009928913403980513
3.3239730026809653,1.5250470572640422,-0.07915697939359424,-0.04616508935696185,0.029156469263989356,-0.05240047564833904,-0.022189867603291363,-0.018864883513507156,-0.012185266238207018
