Energy (eV),Absorption (OD),EA 20 kV/cm (mOD),EA 30 kV/cm (mOD),EA 40 kV/cm (mOD),EA 50 kV/cm (mOD),EA 60 kV/cm (mOD),EA 70 kV/cm (mOD)
3.5424055142857145,0.5405276548256271,-1.2615174738817334,-2.273915243924606,1.0436882499204279,-1.6188928795894881,-0.029823491217239703,5.108397677108579
3.532313190883191,0.5471830941233922,-0.7095043289729073,0.01440892224597139,1.0626085051901157,1.4801858560095411,-1.18826090056898,2.1506794025496627
3.522278210227273,0.5697877417498649,0.11128173911348957,0.3796262415988042,-1.0764988037513195,1.4757003303133123,0.9319753337109196,0.8259874076198138
3.512300084985836,0.5856034932210306,-3.846938438510803,0.36709958895054706,-0.47269312389264156,2.4196010321998354,0.6526383439591568,0.9099554621055814
3.5023783333333336,0.6004792976587181,-1.015093028129045,0.8882169762538469,0.360455927144439,0.2731488822293744,0.3418650904066258,-0.2281936446882014
3.49251247887324,0.6092602423932364,-0.4789406980218656,0.6858150745854996,1.2226905977888245,0.28392498936270144,-0.8610422799149074,-0.589240188449508
3.482702050561798,0.6228220763560365,-1.4251437458605607,0.15002883676960657,1.2350182041039894,1.5681154444079173,-0.2098500007799802,-0.3822066283898167
3.4729465826330532,0.6330273010427071,-0.24492943111816626,1.0769637927889333,0.7123393219785469,0.7938798154310132,-0.5546087710213461,-0.12496073070864631
3.46324561452514,0.63986468351346,1.0097286563234276,0.8961637149382421,-0.37023728520235,0.35850614891077826,-0.12146962744103668,-0.5677858006439571
3.4535986908077994,0.654370294994771,1.0354869273918061,0.41111581840075473,-0.3202850314603311,0.07012947833479183,0.10915956668104697,-0.055879493915597996
3.4440053611111114,0.6735601779451897,1.2659224879121291,-0.0324850429708039,-0.15080126392053322,-1.070405266498166,0.03266756274706075,0.15690474077394864
3.4344651800554016,0.68288182389403,0.22972836046992398,-0.4893619117568337,0.14266326545916402,-0.5284380516520865,0.2670550186626685,0.07554946811249452
3.4249777071823204,0.6961780235975288,0.025925359479253802,-0.35374825486137973,0.2934134136812705,0.008825582750220967,-0.042472144706966,0.07021283898849241
3.4155425068870526,0.7107875608060771,0.52659874376596,0.015937015278493134,-0.34977842545106175,-0.15374829053628586,-0.45549125114357336,0.07233770510803955
3.4061591483516485,0.7196765922065599,0.083041292190147,-0.3360032684866028,-0.23608428986097274,0.1285499552267892,0.01532303513841497,0.5980805219204431
3.396827205479452,0.7267751575695994,0.02418694155350652,-0.11524880605915602,-0.09083187480561221,0.06898462985356059,-0.11649281790014926,-0.05342684246483799
3.387546256830601,0.7333265947580617,0.31672583678256416,0.1472470701630099,-0.0011810403155591612,-0.20107165691329656,0.1740222830833554,-0.07676461114549031
3.378315885558583,0.7414612417189421,-0.0023387821174983966,-0.10850568759367887,0.06234256806698983,0.20107541855892808,0.04927703583904147,-0.3005284378557049
3.3691356793478264,0.7423863408977139,0.19225600122967684,0.1571914850809388,0.11496232438958777,-0.019239609791691273,-0.6115418808376765,-0.014007104542049984
3.3600052303523036,0.745483216998154,0.11953413598170712,-0.13898376808390062,0.6831076469504671,0.7393856175743289,0.08684509966476794,-0.13265583423362518
3.350924135135135,0.7446106371794686,-0.07611420198485541,0.02344820157124038,0.16473819804290035,0.3089152964149933,0.03275685464349474,0.05624501634712385
3.3418919946091648,0.7381282439716708,-0.28889851654578563,-0.330279110410573,0.029560705642154884,0.02856520569300907,-0.08557590175694522,0.13984724842388058
3.332908413978495,0.7359645979806846,0.11060095463832696,-0.23973131377259824,0.39641017793273525,0.13696190270547248,0.21484871028497285,-0.3490970883417699
3.3239730026809653,0.7279088915288587,-0.38280060569767677,0.13550660279334237,0.5220903774021003,-0.4496802922862354,-0.06756362006275622,-0.18842179203557521
3.315085374331551,0.7268085611153245,-0.09006946573021371,-0.02902401993178859,0.4469244957168954,0.008674831466277238,-0.0642998701259612,0.03643484158482643
3.306245146666667,0.7239909903927724,0.3759944074300669,0.6581006657892118,0.396391469757329,0.26124773395209994,-0.040493110124572115,0.14444747335325797
3.2974519414893617,0.7228409240808791,0.2748545869261295,0.601860736025397,0.4865667532586162,0.09295006291932899,-0.17931729379512298,0.1820996216978046
3.2887053846153846,0.7189652330691122,0.4294709937332913,-0.1059338405407874,0.14841053554071365,-0.4244324426239624,-0.15809953974975618,0.05827898066589517
3.280005105820106,0.7200394453897664,0.5736270788028249,-0.43992699646841465,-0.0008173814051258386,-0.4021397097230382,-0.4881301265976678,0.07397599934024876
