Data R1_x,Data R1_y,Fit R1 (k=1.91)_x,Fit R1 (k=1.91)_y,Data R2_x,Data R2_y,Fit R2 (k=1.73)_x,Fit R2 (k=1.73)_y,Data R3_x,Data R3_y,Fit R3 (k=1.73)_x,Fit R3 (k=1.73)_y,Data R4_x,Data R4_y,Fit R4 (k=1.74)_x,Fit R4 (k=1.74)_y,Data R5_x,Data R5_y,Fit R5 (k=1.80)_x,Fit R5 (k=1.80)_y
20.,0.4311270823,20.,0.4196325409,20.,0.0379777943,20.,0.0364837124,20.,0.7526301047,20.,0.7441217424,20.,0.82067144,20.,0.8161272825,20.,0.1144907540,20.,0.1123545128
30.,0.8644116311,20.5050505051,0.4401312455,30.,0.0704461076,20.5050505051,0.0380938496,30.,1.4620604245,20.5050505051,0.7769710293,30.,1.6127011746,20.5050505051,0.8523326775,30.,0.2247482994,20.5050505051,0.1175089177
40.,1.5888634008,21.0101010101,0.4610958628,40.,0.1214741805,21.0101010101,0.0397332701,40.,2.5313301262,21.0101010101,0.8104181215,40.,2.8087108555,21.0101010101,0.889204534,40.,0.3959667893,21.0101010101,0.1227657188
50.,2.5186737145,21.5151515152,0.4825254009,50.,0.1727568870,21.5151515152,0.0414017834,50.,3.6261028494,21.5151515152,0.8444591351,50.,4.018799035,21.5151515152,0.9267386569,50.,0.5887348441,21.5151515152,0.1281244155
60.,3.3035471071,22.0202020202,0.5044188933,60.,0.2389021017,22.0202020202,0.0430992046,60.,4.8782298905,22.0202020202,0.8790903032,60.,5.4389152922,22.0202020202,0.9649309761,60.,0.7938755215,22.0202020202,0.1335845213
70.,4.6888056384,22.5252525253,0.5267753981,70.,0.3379213929,22.5252525253,0.0448253543,70.,6.6357126565,22.5252525253,0.9143079692,70.,7.2637242353,22.5252525253,1.0037775402,70.,1.0872555589,22.5252525253,0.1391455635
,,23.0303030303,0.5495939964,,,23.0303030303,0.0465800583,,,23.0303030303,0.9501085813,,,23.0303030303,1.0432745104,,,23.0303030303,0.144807082
,,23.5353535354,0.5728737916,,,23.5353535354,0.0483631471,,,23.5353535354,0.9864886875,,,23.5353535354,1.0834181547,,,23.5353535354,0.1505686291
,,24.0404040404,0.5966139081,,,24.0404040404,0.0501744560,,,24.0404040404,1.0234449302,,,24.0404040404,1.1242048428,,,24.0404040404,0.1564297686
,,24.5454545455,0.6208134906,,,24.5454545455,0.0520138248,,,24.5454545455,1.0609740421,,,24.5454545455,1.1656310413,,,24.5454545455,0.1623900756
,,25.0505050505,0.6454717031,,,25.0505050505,0.0538810972,,,25.0505050505,1.0990728418,,,25.0505050505,1.2076933092,,,25.0505050505,0.1684491356
,,25.5555555556,0.6705877281,,,25.5555555556,0.0557761213,,,25.5555555556,1.1377382298,,,25.5555555556,1.2503882933,,,25.5555555556,0.1746065444
,,26.0606060606,0.6961607658,,,26.0606060606,0.0576987487,,,26.0606060606,1.1769671848,,,26.0606060606,1.2937127246,,,26.0606060606,0.1808619072
,,26.5656565657,0.7221900335,,,26.5656565657,0.0596488350,,,26.5656565657,1.2167567604,,,26.5656565657,1.3376634147,,,26.5656565657,0.1872148388
