Data R1_x,Data R1_y,Fit R1 (k=1.91)_x,Fit R1 (k=1.91)_y,Data R2_x,Data R2_y,Fit R2 (k=1.71)_x,Fit R2 (k=1.71)_y,Data R3_x,Data R3_y,Fit R3 (k=1.73)_x,Fit R3 (k=1.73)_y,Data R4_x,Data R4_y,Fit R4 (k=1.75)_x,Fit R4 (k=1.75)_y,Data R5_x,Data R5_y,Fit R5 (k=1.83)_x,Fit R5 (k=1.83)_y
20.,0.4311270823,20.,0.4196325409,20.,0.0386373205,20.,0.0370497479,20.,0.7563996124,20.,0.7477265739,20.,0.8132002379,20.,0.8068990354,20.,0.1110906682,20.,0.1099675036
30.,0.8644116311,20.5050505051,0.4401312455,30.,0.0704676268,20.5050505051,0.0386668721,30.,1.469443603,20.5050505051,0.7807642556,30.,1.5976749781,20.5050505051,0.842849753,30.,0.2241380827,20.5050505051,0.1151011728
40.,1.5888634008,21.0101010101,0.4610958628,40.,0.1231471894,21.0101010101,0.0403126503,40.,2.5468502587,21.0101010101,0.8144044162,40.,2.7871155534,21.0101010101,0.8794688828,40.,0.3995337032,21.0101010101,0.1203408175
50.,2.5186737145,21.5151515152,0.4825254009,50.,0.1727585614,21.5151515152,0.0419868831,50.,3.6490756249,21.5151515152,0.8486431635,50.,3.9878700639,21.5151515152,0.9167523364,50.,0.592781945,21.5151515152,0.1256859989
60.,3.3035471071,22.0202020202,0.5044188933,60.,0.2334764928,22.0202020202,0.0436893771,60.,4.9089955369,22.0202020202,0.8834767219,60.,5.4171952320,22.0202020202,0.9546961466,60.,0.8068744482,22.0202020202,0.1311362905
70.,4.6888056384,22.5252525253,0.5267753981,70.,0.3388284221,22.5252525253,0.0454199449,70.,6.6810536738,22.5252525253,0.9189014269,70.,7.2772566654,22.5252525253,0.9932964610,70.,1.0949386059,22.5252525253,0.1366912773
,,23.0303030303,0.5495939964,,,23.0303030303,0.0471784043,,,23.0303030303,0.9549137184,,,23.0303030303,1.0325495366,,,23.0303030303,0.1423505554
,,23.5353535354,0.5728737916,,,23.5353535354,0.0489645784,,,23.5353535354,0.9915101363,,,23.5353535354,1.0724517338,,,23.5353535354,0.1481137312
,,24.0404040404,0.5966139081,,,24.0404040404,0.0507782952,,,24.0404040404,1.0286873152,,,24.0404040404,1.1129995117,,,24.0404040404,0.1539804213
,,24.5454545455,0.6208134906,,,24.5454545455,0.0526193874,,,24.5454545455,1.0664419801,,,24.5454545455,1.1541894233,,,24.5454545455,0.1599502516
,,25.0505050505,0.6454717031,,,25.0505050505,0.0544876921,,,25.0505050505,1.1047709417,,,25.0505050505,1.1960181112,,,25.0505050505,0.1660228571
,,25.5555555556,0.6705877281,,,25.5555555556,0.0563830507,,,25.5555555556,1.1436710931,,,25.5555555556,1.2384823032,,,25.5555555556,0.1721978816
,,26.0606060606,0.6961607658,,,26.0606060606,0.0583053088,,,26.0606060606,1.1831394054,,,26.0606060606,1.281578809,,,26.0606060606,0.1784749773
,,26.5656565657,0.7221900335,,,26.5656565657,0.0602543156,,,26.5656565657,1.2231729248,,,26.5656565657,1.3253045160,,,26.5656565657,0.1848538041
,,27.0707070707,0.7486747647,,,27.0707070707,0.0622299243,,,27.0707070707,1.2637687692,,,27.0707070707,1.3696563864,,,27.0707070707,0.1913340296
,,27.5757575758,0.7756142088,,,27.5757575758,0.0642319914,,,27.5757575758,1.3049241247,,,27.5757575758,1.4146314539,,,27.5757575758,0.1979153289
,,28.0808080808,0.8030076300,,,28.0808080808,0.0662603770,,,28.0808080808,1.3466362436,,,28.0808080808,1.4602268206,,,28.0808080808,0.2045973839
,,28.5858585859,0.8308543073,,,28.5858585859,0.0683149444,,,28.5858585859,1.3889024408,,,28.5858585859,1.5064396544,,,28.5858585859,0.2113798834
,,29.0909090909,0.8591535334,,,29.0909090909,0.0703955599,,,29.0909090909,1.4317200919,,,29.0909090909,1.5532671861,,,29.0909090909,0.2182625225
,,29.595959596,0.8879046147,,,29.595959596,0.0725020930,,,29.595959596,1.4750866305,,,29.595959596,1.6007067075,,,29.595959596,0.2252450028
,,30.1010101010,0.9171068704,,,30.1010101010,0.074634416,,,30.1010101010,1.5189995461,,,30.1010101010,1.6487555681,,,30.1010101010,0.2323270318
,,30.6060606061,0.9467596324,,,30.6060606061,0.0767924039,,,30.6060606061,1.5634563818,,,30.6060606061,1.697411174,,,30.6060606061,0.2395083225
,,31.1111111111,0.9768622444,,,31.1111111111,0.0789759345,,,31.1111111111,1.6084547323,,,31.1111111111,1.7466709848,,,31.1111111111,0.2467885940
,,31.6161616162,1.007414062,,,31.6161616162,0.0811848882,,,31.6161616162,1.6539922422,,,31.6161616162,1.7965325123,,,31.6161616162,0.2541675704
,,32.1212121212,1.0384144521,,,32.1212121212,0.0834191476,,,32.1212121212,1.7000666039,,,32.1212121212,1.8469933184,,,32.1212121212,0.2616449811
,,32.6262626263,1.0698627924,,,32.6262626263,0.0856785980,,,32.6262626263,1.7466755561,,,32.6262626263,1.898051013,,,32.6262626263,0.2692205606
,,33.1313131313,1.1017584712,,,33.1313131313,0.0879631269,,,33.1313131313,1.7938168821,,,33.1313131313,1.9497032529,,,33.1313131313,0.276894048
,,33.6363636364,1.1341008869,,,33.6363636364,0.0902726238,,,33.6363636364,1.8414884082,,,33.6363636364,2.0019477398,,,33.6363636364,0.2846651873
,,34.1414141414,1.1668894481,,,34.1414141414,0.0926069808,,,34.1414141414,1.8896880022,,,34.1414141414,2.0547822188,,,34.1414141414,0.2925337270
,,34.6464646465,1.2001235725,,,34.6464646465,0.0949660916,,,34.6464646465,1.9384135722,,,34.6464646465,2.1082044772,,,34.6464646465,0.30049942
,,35.1515151515,1.2338026876,,,35.1515151515,0.0973498523,,,35.1515151515,1.9876630650,,,35.1515151515,2.1622123425,,,35.1515151515,0.3085620233
,,35.6565656566,1.2679262296,,,35.6565656566,0.0997581606,,,35.6565656566,2.0374344651,,,35.6565656566,2.2168036820,,,35.6565656566,0.3167212982
,,36.1616161616,1.3024936435,,,36.1616161616,0.1021909162,,,36.1616161616,2.0877257932,,,36.1616161616,2.2719764007,,,36.1616161616,0.3249770098
,,36.6666666667,1.3375043828,,,36.6666666667,0.1046480207,,,36.6666666667,2.1385351053,,,36.6666666667,2.3277284405,,,36.6666666667,0.3333289271
,,37.1717171717,1.3729579093,,,37.1717171717,0.1071293774,,,37.1717171717,2.1898604913,,,37.1717171717,2.3840577790,,,37.1717171717,0.3417768231
,,37.6767676768,1.4088536927,,,37.6767676768,0.1096348912,,,37.6767676768,2.2417000745,,,37.6767676768,2.4409624285,,,37.6767676768,0.3503204741
,,38.1818181818,1.4451912105,,,38.1818181818,0.1121644687,,,38.1818181818,2.2940520098,,,38.1818181818,2.4984404346,,,38.1818181818,0.35895966
,,38.6868686869,1.4819699478,,,38.6868686869,0.1147180183,,,38.6868686869,2.3469144834,,,38.6868686869,2.5564898757,,,38.6868686869,0.3676941643
,,39.1919191919,1.5191893970,,,39.1919191919,0.1172954496,,,39.1919191919,2.4002857115,,,39.1919191919,2.6151088615,,,39.1919191919,0.3765237736
,,39.696969697,1.5568490578,,,39.696969697,0.1198966740,,,39.696969697,2.4541639398,,,39.696969697,2.6742955325,,,39.696969697,0.3854482779
,,40.2020202020,1.5949484367,,,40.2020202020,0.1225216042,,,40.2020202020,2.5085474421,,,40.2020202020,2.734048059,,,40.2020202020,0.3944674704
,,40.7070707071,1.6334870471,,,40.7070707071,0.1251701543,,,40.7070707071,2.5634345199,,,40.7070707071,2.7943646401,,,40.7070707071,0.4035811470
,,41.2121212121,1.6724644089,,,41.2121212121,0.1278422398,,,41.2121212121,2.6188235017,,,41.2121212121,2.8552435032,,,41.2121212121,0.4127891071
,,41.7171717172,1.7118800485,,,41.7171717172,0.1305377777,,,41.7171717172,2.6747127416,,,41.7171717172,2.9166829028,,,41.7171717172,0.4220911525
,,42.2222222222,1.7517334986,,,42.2222222222,0.1332566861,,,42.2222222222,2.7311006196,,,42.2222222222,2.9786811201,,,42.2222222222,0.4314870882
,,42.7272727273,1.7920242978,,,42.7272727273,0.1359988845,,,42.7272727273,2.78798554,,,42.7272727273,3.0412364622,,,42.7272727273,0.4409767216
,,43.2323232323,1.8327519911,,,43.2323232323,0.1387642935,,,43.2323232323,2.8453659311,,,43.2323232323,3.1043472612,,,43.2323232323,0.4505598632
,,43.7373737374,1.8739161288,,,43.7373737374,0.1415528349,,,43.7373737374,2.9032402446,,,43.7373737374,3.1680118739,,,43.7373737374,0.4602363257
,,44.2424242424,1.9155162672,,,44.2424242424,0.1443644319,,,44.2424242424,2.9616069551,,,44.2424242424,3.2322286809,,,44.2424242424,0.4700059245
,,44.7474747475,1.9575519682,,,44.7474747475,0.1471990085,,,44.7474747475,3.0204645592,,,44.7474747475,3.2969960861,,,44.7474747475,0.4798684776
,,45.2525252525,2.0000227988,,,45.2525252525,0.1500564901,,,45.2525252525,3.079811575,,,45.2525252525,3.3623125158,,,45.2525252525,0.4898238053
,,45.7575757576,2.0429283315,,,45.7575757576,0.1529368029,,,45.7575757576,3.1396465417,,,45.7575757576,3.4281764188,,,45.7575757576,0.4998717301
,,46.2626262626,2.0862681439,,,46.2626262626,0.1558398745,,,46.2626262626,3.1999680191,,,46.2626262626,3.494586265,,,46.2626262626,0.5100120772
,,46.7676767677,2.1300418186,,,46.7676767677,0.1587656332,,,46.7676767677,3.2607745869,,,46.7676767677,3.5615405456,,,46.7676767677,0.5202446737
,,47.2727272727,2.1742489433,,,47.2727272727,0.1617140084,,,47.2727272727,3.3220648443,,,47.2727272727,3.6290377721,,,47.2727272727,0.530569349
,,47.7777777778,2.2188891104,,,47.7777777778,0.1646849305,,,47.7777777778,3.3838374096,,,47.7777777778,3.6970764763,,,47.7777777778,0.5409859346
