5.000,2000000.000,-200.000,0.000,0.000,NaN,NaN
5.796,2000000.000,200.000,0.000,0.000,NaN,NaN
6.718,2000000.000,200.000,0.000,0.000,NaN,NaN
7.788,2000000.000,200.000,0.000,0.000,NaN,NaN
9.028,2000000.000,200.000,0.000,0.000,NaN,NaN
10.465,2000000.000,200.000,0.000,0.000,NaN,NaN
12.130,2000000.000,200.000,0.000,0.000,NaN,NaN
14.061,2000000.000,200.000,0.000,0.000,NaN,NaN
16.299,2000000.000,200.000,0.000,0.000,NaN,NaN
18.894,2000000.000,200.000,0.000,0.000,NaN,NaN
21.901,2000000.000,200.000,0.000,0.000,NaN,NaN
25.387,2000000.000,200.000,0.000,0.000,NaN,NaN
29.428,2000000.000,200.000,0.000,0.000,NaN,NaN
34.113,2000000.000,200.000,0.000,0.000,NaN,NaN
39.543,2000000.000,200.000,0.000,0.000,NaN,NaN
45.837,2000000.000,200.000,0.000,0.000,NaN,NaN
53.133,2000000.000,200.000,0.000,0.000,NaN,NaN
61.591,2000000.000,200.000,0.000,0.000,NaN,NaN
71.395,2000000.000,200.000,0.000,0.000,NaN,NaN
82.759,2000000.000,200.000,0.000,0.000,NaN,NaN
95.932,2000000.000,-200.000,0.000,0.000,NaN,NaN
111.202,2000000.000,-200.000,0.000,0.000,NaN,NaN
128.903,2000000.000,-200.000,0.000,0.000,NaN,NaN
149.422,1128800.000,-89.500,0.000,0.000,NaN,NaN
173.206,974600.000,-89.500,0.000,0.000,NaN,NaN
200.777,841200.000,-89.500,0.000,0.000,NaN,NaN
232.736,727000.000,-89.480,0.000,0.000,NaN,NaN
269.782,627000.000,-89.500,0.000,0.000,NaN,NaN
312.725,542000.000,-89.480,0.000,0.000,NaN,NaN
362.504,468000.000,-89.460,0.000,0.000,NaN,NaN
420.206,404040.000,-89.440,0.000,0.000,NaN,NaN
487.093,348900.000,-89.440,0.000,0.000,NaN,NaN
564.627,301300.000,-89.440,0.000,0.000,NaN,NaN
654.502,260200.000,-89.436,0.000,0.000,NaN,NaN
758.684,224680.000,-89.428,0.000,0.000,NaN,NaN
879.449,194000.000,-89.420,0.000,0.000,NaN,NaN
