==========
==========
F (Hz),Z,Phi,R,X,L,C
5.000000E+0,2.640000E-8,2.000000E+2,1.200000E-9,2.740000E-8,NaN,NaN
5.796000E+0,3.100000E-8,2.000000E+2,4.000000E-10,3.120000E-8,NaN,NaN
6.718000E+0,3.700000E-8,2.000000E+2,1.600000E-9,3.740000E-8,NaN,NaN
7.788000E+0,4.500000E-8,2.000000E+2,1.000000E-9,4.460000E-8,NaN,NaN
9.028000E+0,5.180000E-8,2.000000E+2,1.600000E-9,5.220000E-8,NaN,NaN
1.046500E+1,6.140000E-8,2.000000E+2,1.800000E-9,6.100000E-8,NaN,NaN
1.213000E+1,7.140000E-8,2.000000E+2,8.000000E-10,7.080000E-8,NaN,NaN
1.406100E+1,8.380000E-8,2.000000E+2,1.000000E-9,8.280000E-8,NaN,NaN
1.629900E+1,9.620000E-8,2.000000E+2,2.200000E-9,9.680000E-8,NaN,NaN
1.889400E+1,1.120000E-7,2.000000E+2,2.200000E-9,1.124000E-7,NaN,NaN
2.190100E+1,1.302000E-7,2.000000E+2,1.600000E-9,1.302000E-7,NaN,NaN
2.538700E+1,1.516000E-7,2.000000E+2,2.800000E-9,1.510000E-7,NaN,NaN
2.942800E+1,1.748000E-7,2.000000E+2,2.000000E-9,1.756000E-7,NaN,NaN
3.411300E+1,2.030000E-7,2.000000E+2,2.000000E-9,2.032000E-7,NaN,NaN
3.954300E+1,2.348000E-7,2.000000E+2,2.600000E-9,2.352000E-7,NaN,NaN
4.583700E+1,2.730000E-7,2.000000E+2,2.600000E-9,2.728000E-7,NaN,NaN
5.313300E+1,3.156000E-7,2.000000E+2,2.600000E-9,3.160000E-7,NaN,NaN
6.159100E+1,3.666000E-7,2.000000E+2,3.400000E-9,3.668000E-7,NaN,NaN
7.139500E+1,4.244000E-7,2.000000E+2,3.800000E-9,4.248000E-7,NaN,NaN
8.275900E+1,4.922000E-7,2.000000E+2,4.800000E-9,4.922000E-7,NaN,NaN
9.593200E+1,5.698000E-7,8.948600E+1,5.000000E-9,5.696000E-7,NaN,NaN
1.112020E+2,6.600000E-7,8.946600E+1,6.000000E-9,6.600000E-7,NaN,NaN
1.289030E+2,7.648000E-7,8.947200E+1,7.000000E-9,7.640000E-7,NaN,NaN
1.494220E+2,8.850000E-7,8.947200E+1,8.200000E-9,8.850000E-7,NaN,NaN
1.732060E+2,1.025000E-6,8.947000E+1,1.000000E-8,1.025200E-6,NaN,NaN
2.007770E+2,1.188000E-6,8.945800E+1,1.100000E-8,1.188000E-6,NaN,NaN
2.327360E+2,1.375200E-6,8.945600E+1,1.300000E-8,1.375200E-6,NaN,NaN
2.697820E+2,1.593000E-6,8.945400E+1,1.500000E-8,1.593000E-6,NaN,NaN
3.127250E+2,1.845000E-6,8.944600E+1,1.800000E-8,1.845000E-6,NaN,NaN
3.625040E+2,2.136200E-6,8.944200E+1,2.100000E-8,2.136000E-6,NaN,NaN
4.202060E+2,2.474000E-6,8.944000E+1,2.400000E-8,2.474000E-6,NaN,NaN
4.870930E+2,2.865000E-6,8.944000E+1,2.800000E-8,2.865000E-6,NaN,NaN
5.646270E+2,3.318000E-6,8.944000E+1,3.200000E-8,3.318000E-6,NaN,NaN
6.545020E+2,3.842400E-6,8.943600E+1,3.800000E-8,3.842000E-6,NaN,NaN
7.586840E+2,4.450000E-6,8.943000E+1,4.480000E-8,4.450000E-6,NaN,NaN
8.794490E+2,5.153000E-6,8.942000E+1,5.200000E-8,5.152400E-6,NaN,NaN
1.019437E+3,5.967000E-6,8.941600E+1,6.100000E-8,5.966800E-6,NaN,NaN
1.181708E+3,6.910000E-6,8.940800E+1,7.160000E-8,6.910000E-6,NaN,NaN
1.369809E+3,8.001000E-6,8.940400E+1,8.320000E-8,8.001000E-6,NaN,NaN
1.587850E+3,9.265000E-6,8.940000E+1,9.780000E-8,9.264200E-6,NaN,NaN
