==========
==========
F (Hz),Z,Phi,R,X,L,C
1.840600E+3,1.072800E-5,8.939200E+1,1.132000E-7,1.072700E-5,NaN,NaN
2.133581E+3,1.242100E-5,8.939000E+1,1.312000E-7,1.242000E-5,NaN,NaN
2.473198E+3,1.438800E-5,8.940000E+1,1.500000E-7,1.438600E-5,NaN,NaN
2.866874E+3,1.666000E-5,8.939000E+1,1.800000E-7,1.666000E-5,NaN,NaN
3.323214E+3,1.929000E-5,8.939000E+1,2.060000E-7,1.929000E-5,NaN,NaN
3.852193E+3,2.234000E-5,8.939000E+1,2.400000E-7,2.234000E-5,NaN,NaN
4.465373E+3,2.587000E-5,8.939000E+1,2.800000E-7,2.586600E-5,NaN,NaN
5.176157E+3,2.995000E-5,8.938000E+1,3.200000E-7,2.995000E-5,NaN,NaN
6.000082E+3,3.468400E-5,8.938000E+1,3.720000E-7,3.468000E-5,NaN,NaN
6.955157E+3,4.016000E-5,8.937200E+1,4.400000E-7,4.016000E-5,NaN,NaN
8.062258E+3,4.650000E-5,8.937000E+1,5.100000E-7,4.650000E-5,NaN,NaN
9.345583E+3,5.384400E-5,8.936000E+1,6.000000E-7,5.384000E-5,NaN,NaN
1.083318E+4,6.234600E-5,8.935400E+1,7.000000E-7,6.234000E-5,NaN,NaN
1.255758E+4,7.219000E-5,8.935000E+1,8.200000E-7,7.218200E-5,NaN,NaN
1.455645E+4,8.358000E-5,8.934000E+1,9.600000E-7,8.357800E-5,NaN,NaN
1.687351E+4,9.677200E-5,8.933200E+1,1.122000E-6,9.677000E-5,NaN,NaN
1.955938E+4,1.120500E-4,8.933000E+1,1.318000E-6,1.120420E-4,NaN,NaN
2.267278E+4,1.297380E-4,8.931400E+1,1.550000E-6,1.297300E-4,NaN,NaN
2.628177E+4,1.503000E-4,8.934000E+1,1.700000E-6,1.503000E-4,NaN,NaN
3.046522E+4,1.740000E-4,8.933000E+1,2.000000E-6,1.740000E-4,NaN,NaN
3.531458E+4,2.015000E-4,8.932000E+1,2.400000E-6,2.015000E-4,NaN,NaN
4.093584E+4,2.333000E-4,8.931400E+1,2.800000E-6,2.333000E-4,NaN,NaN
4.745189E+4,2.701000E-4,8.930400E+1,3.300000E-6,2.701000E-4,NaN,NaN
5.500513E+4,3.128000E-4,8.929400E+1,3.820000E-6,3.127000E-4,NaN,NaN
6.376068E+4,3.621000E-4,8.928600E+1,4.500000E-6,3.621000E-4,NaN,NaN
7.390991E+4,4.193000E-4,8.927200E+1,5.300000E-6,4.192000E-4,NaN,NaN
8.567466E+4,4.854000E-4,8.926200E+1,6.200000E-6,4.854000E-4,NaN,NaN
9.931210E+4,5.620000E-4,8.925800E+1,7.300000E-6,5.619600E-4,NaN,NaN
1.151203E+5,6.506200E-4,8.924200E+1,8.600000E-6,6.506000E-4,NaN,NaN
1.334448E+5,7.533000E-4,8.923000E+1,1.014000E-5,7.532000E-4,NaN,NaN
1.546861E+5,8.720000E-4,8.921200E+1,1.194000E-5,8.719000E-4,NaN,NaN
1.793086E+5,1.009500E-3,8.920400E+1,1.398000E-5,1.009400E-3,NaN,NaN
2.078504E+5,1.168600E-3,8.919200E+1,1.646000E-5,1.168460E-3,NaN,NaN
2.409354E+5,1.353000E-3,8.920800E+1,1.900000E-5,1.353000E-3,NaN,NaN
2.792867E+5,1.566800E-3,8.919000E+1,2.200000E-5,1.566000E-3,NaN,NaN
3.237427E+5,1.813200E-3,8.918000E+1,2.600000E-5,1.813000E-3,NaN,NaN
3.752751E+5,2.099000E-3,8.917000E+1,3.040000E-5,2.099000E-3,NaN,NaN
4.350102E+5,2.430000E-3,8.915000E+1,3.600000E-5,2.430000E-3,NaN,NaN
5.042538E+5,2.813000E-3,8.914000E+1,4.200000E-5,2.813000E-3,NaN,NaN
5.845194E+5,3.256000E-3,8.912000E+1,5.000000E-5,3.256000E-3,NaN,NaN
6.775614E+5,3.769000E-3,8.911000E+1,5.900000E-5,3.768800E-3,NaN,NaN
7.854136E+5,4.363000E-3,8.909000E+1,6.900000E-5,4.362000E-3,NaN,NaN
9.104333E+5,5.050000E-3,8.908000E+1,6.480000E-5,4.039200E-3,NaN,NaN
1.055353E+6,5.845000E-3,8.906000E+1,9.600000E-5,5.844000E-3,NaN,NaN
1.223341E+6,6.766000E-3,8.904000E+1,1.130000E-4,6.765000E-3,NaN,NaN
1.418069E+6,7.831000E-3,8.902400E+1,1.330000E-4,7.830000E-3,NaN,NaN
1.643793E+6,9.065000E-3,8.901000E+1,1.572000E-4,9.064000E-3,NaN,NaN
1.905447E+6,1.049400E-2,8.898800E+1,1.858000E-4,1.049220E-2,NaN,NaN
2.208750E+6,1.214920E-2,8.897000E+1,2.190000E-4,1.214700E-2,NaN,NaN
2.560332E+6,1.407000E-2,8.895000E+1,2.600000E-4,1.406000E-2,NaN,NaN
2.967878E+6,1.629000E-2,8.893000E+1,3.020000E-4,1.629000E-2,NaN,NaN
3.440296E+6,1.887000E-2,8.891000E+1,3.600000E-4,1.887000E-2,NaN,NaN
3.987911E+6,2.187000E-2,8.889000E+1,4.260000E-4,2.186200E-2,NaN,NaN
4.622695E+6,2.535200E-2,8.887000E+1,5.000000E-4,2.535000E-2,NaN,NaN
5.358521E+6,2.942000E-2,8.884400E+1,5.900000E-4,2.941000E-2,NaN,NaN
6.211474E+6,3.416000E-2,8.882000E+1,7.020000E-4,3.415600E-2,NaN,NaN
7.200198E+6,3.972200E-2,8.878800E+1,8.400000E-4,3.971800E-2,NaN,NaN
8.346303E+6,4.627600E-2,8.874000E+1,1.016000E-3,4.626200E-2,NaN,NaN
9.674842E+6,5.405000E-2,8.867200E+1,1.254000E-3,5.403200E-2,NaN,NaN
1.121485E+7,6.334000E-2,8.857800E+1,1.578000E-3,6.331800E-2,NaN,NaN
1.300000E+7,7.460800E-2,8.841600E+1,2.060000E-3,7.458000E-2,NaN,NaN
