==========
==========
F (Hz),Z,Phi,R,X,L,C
6.545020E+2,2.595000E+5,-8.942000E+1,3.900000E-8,3.854000E-6,NaN,NaN
7.586840E+2,2.241000E+5,-8.941000E+1,4.600000E-8,4.463000E-6,NaN,NaN
8.794490E+2,1.935000E+5,-8.940000E+1,5.400000E-8,5.167000E-6,NaN,NaN
1.019437E+3,1.671000E+5,-8.940000E+1,6.200000E-8,5.983000E-6,NaN,NaN
1.181708E+3,1.443000E+5,-8.940000E+1,7.300000E-8,6.929000E-6,NaN,NaN
1.369809E+3,1.246000E+5,-8.939000E+1,8.500000E-8,8.022000E-6,NaN,NaN
1.587850E+3,1.076300E+5,-8.939000E+1,1.000000E-7,9.288000E-6,NaN,NaN
1.840600E+3,9.295000E+4,-8.939000E+1,1.170000E-7,1.075500E-5,NaN,NaN
2.133581E+3,8.027000E+4,-8.938000E+1,1.300000E-7,1.245000E-5,NaN,NaN
2.473198E+3,6.934000E+4,-8.938000E+1,1.600000E-7,1.442000E-5,NaN,NaN
2.866874E+3,5.988000E+4,-8.938000E+1,1.800000E-7,1.670000E-5,NaN,NaN
3.323214E+3,5.171000E+4,-8.938000E+1,2.100000E-7,1.934000E-5,NaN,NaN
3.852193E+3,4.466000E+4,-8.938000E+1,2.400000E-7,2.239000E-5,NaN,NaN
4.465373E+3,3.857000E+4,-8.937000E+1,2.800000E-7,2.592000E-5,NaN,NaN
5.176157E+3,3.331000E+4,-8.937000E+1,3.300000E-7,3.002000E-5,NaN,NaN
6.000082E+3,2.877000E+4,-8.937000E+1,3.800000E-7,3.476000E-5,NaN,NaN
6.955157E+3,2.484000E+4,-8.936000E+1,4.500000E-7,4.025000E-5,NaN,NaN
8.062258E+3,2.146000E+4,-8.936000E+1,5.200000E-7,4.660000E-5,NaN,NaN
9.345583E+3,1.853000E+4,-8.935000E+1,6.100000E-7,5.396000E-5,NaN,NaN
1.083318E+4,1.601000E+4,-8.934000E+1,7.200000E-7,6.247000E-5,NaN,NaN
1.255758E+4,1.382000E+4,-8.934000E+1,8.400000E-7,7.233000E-5,NaN,NaN
1.455645E+4,1.194000E+4,-8.933000E+1,9.800000E-7,8.374000E-5,NaN,NaN
1.687351E+4,1.030900E+4,-8.935000E+1,1.140000E-6,9.695000E-5,NaN,NaN
1.955938E+4,8.904000E+3,-8.935000E+1,1.300000E-6,1.123000E-4,NaN,NaN
2.267278E+4,7.689000E+3,-8.934000E+1,1.500000E-6,1.300000E-4,NaN,NaN
2.628177E+4,6.641000E+3,-8.933000E+1,1.800000E-6,1.506000E-4,NaN,NaN
3.046522E+4,5.736000E+3,-8.932000E+1,2.100000E-6,1.743000E-4,NaN,NaN
3.531458E+4,4.954000E+3,-8.931000E+1,2.400000E-6,2.018000E-4,NaN,NaN
4.093584E+4,4.279000E+3,-8.930000E+1,2.900000E-6,2.337000E-4,NaN,NaN
4.745189E+4,3.696000E+3,-8.929000E+1,3.300000E-6,2.706000E-4,NaN,NaN
5.500513E+4,3.192000E+3,-8.929000E+1,3.900000E-6,3.133000E-4,NaN,NaN
6.376068E+4,2.757000E+3,-8.928000E+1,4.600000E-6,3.627000E-4,NaN,NaN
7.390991E+4,2.381000E+3,-8.927000E+1,5.400000E-6,4.199000E-4,NaN,NaN
8.567466E+4,2.057000E+3,-8.926000E+1,6.300000E-6,4.861000E-4,NaN,NaN
9.931210E+4,1.777000E+3,-8.925000E+1,7.400000E-6,5.628000E-4,NaN,NaN
1.151203E+5,1.535000E+3,-8.924000E+1,8.700000E-6,6.516000E-4,NaN,NaN
1.334448E+5,1.326000E+3,-8.922000E+1,1.030000E-5,7.543000E-4,NaN,NaN
1.546861E+5,1.145000E+3,-8.921000E+1,1.210000E-5,8.732000E-4,NaN,NaN
1.793086E+5,9.889000E+2,-8.922000E+1,1.330000E+1,-9.889000E+2,NaN,NaN
2.078504E+5,8.544000E+2,-8.922000E+1,1.170000E+1,-8.542000E+2,NaN,NaN
2.409354E+5,7.380000E+2,-8.920000E+1,1.030000E+1,-7.379000E+2,NaN,NaN
2.792867E+5,6.375000E+2,-8.919000E+1,9.000000E+0,-6.374000E+2,NaN,NaN
3.237427E+5,5.507000E+2,-8.918000E+1,7.900000E+0,-5.506000E+2,NaN,NaN
3.752751E+5,4.757000E+2,-8.917000E+1,6.900000E+0,-4.757000E+2,NaN,NaN
4.350102E+5,4.110000E+2,-8.915000E+1,6.100000E+0,-4.109000E+2,NaN,NaN
5.042538E+5,3.550000E+2,-8.914000E+1,5.300000E+0,-3.550000E+2,NaN,NaN
5.845194E+5,3.067000E+2,-8.913000E+1,4.700000E+0,-3.067000E+2,NaN,NaN
6.775614E+5,2.650000E+2,-8.911000E+1,4.100000E+0,-2.650000E+2,NaN,NaN
7.854136E+5,2.289000E+2,-8.910000E+1,3.600000E+0,-2.289000E+2,NaN,NaN
9.104333E+5,1.978000E+2,-8.909000E+1,3.200000E+0,-1.978000E+2,NaN,NaN
1.055353E+6,1.709000E+2,-8.907000E+1,2.800000E+0,-1.709000E+2,NaN,NaN
1.223341E+6,1.476000E+2,-8.906000E+1,2.400000E+0,-1.476000E+2,NaN,NaN
1.418069E+6,1.276000E+2,-8.904000E+1,2.100000E+0,-1.275000E+2,NaN,NaN
1.643793E+6,1.102000E+2,-8.903000E+1,1.900000E+0,-1.102000E+2,NaN,NaN
1.905447E+6,9.519000E+1,-8.901000E+1,1.640000E+0,-9.518000E+1,NaN,NaN
2.208750E+6,8.223000E+1,-8.900000E+1,1.440000E+0,-8.221000E+1,NaN,NaN
2.560332E+6,7.102000E+1,-8.898000E+1,1.260000E+0,-7.101000E+1,NaN,NaN
2.967878E+6,6.133000E+1,-8.897000E+1,1.100000E+0,-6.132000E+1,NaN,NaN
3.440296E+6,5.294000E+1,-8.896000E+1,9.600000E-1,-5.294000E+1,NaN,NaN
3.987911E+6,4.569000E+1,-8.895000E+1,8.400000E-1,-4.568000E+1,NaN,NaN
4.622695E+6,3.941000E+1,-8.894000E+1,7.300000E-1,-3.941000E+1,NaN,NaN
5.358521E+6,3.398000E+1,-8.893000E+1,6.300000E-1,-3.397000E+1,NaN,NaN
6.211474E+6,2.926000E+1,-8.893000E+1,5.500000E-1,-2.926000E+1,NaN,NaN
7.200198E+6,2.517000E+1,-8.891000E+1,4.800000E-1,-2.517000E+1,NaN,NaN
8.346303E+6,2.162000E+1,-8.889000E+1,4.200000E-1,-2.161000E+1,NaN,NaN
9.674842E+6,1.851000E+1,-8.884000E+1,3.700000E-1,-1.851000E+1,NaN,NaN
1.121485E+7,1.581000E+1,-8.879000E+1,3.400000E-1,-1.581000E+1,NaN,NaN
1.300000E+7,1.343000E+1,-8.866000E+1,3.100000E-1,-1.343000E+1,NaN,NaN
