==========
==========
F (Hz),Z,Phi,R,X,L,C
5.000000E+0,2.000000E+6,-2.000000E+2,2.000000E-9,2.600000E-8,NaN,NaN
5.796000E+0,2.000000E+6,2.000000E+2,1.000000E-9,3.100000E-8,NaN,NaN
6.718000E+0,2.000000E+6,2.000000E+2,1.000000E-9,3.800000E-8,NaN,NaN
7.788000E+0,2.000000E+6,2.000000E+2,0.000000E+0,4.300000E-8,NaN,NaN
9.028000E+0,2.000000E+6,2.000000E+2,1.000000E-9,5.200000E-8,NaN,NaN
1.046500E+1,2.000000E+6,2.000000E+2,3.000000E-9,6.100000E-8,NaN,NaN
1.213000E+1,2.000000E+6,2.000000E+2,1.000000E-9,7.400000E-8,NaN,NaN
1.406100E+1,2.000000E+6,2.000000E+2,2.000000E-9,8.400000E-8,NaN,NaN
1.629900E+1,2.000000E+6,2.000000E+2,3.000000E-9,9.600000E-8,NaN,NaN
1.889400E+1,2.000000E+6,2.000000E+2,1.000000E-9,1.120000E-7,NaN,NaN
2.190100E+1,2.000000E+6,2.000000E+2,0.000000E+0,1.310000E-7,NaN,NaN
2.538700E+1,2.000000E+6,2.000000E+2,2.000000E-9,1.530000E-7,NaN,NaN
2.942800E+1,2.000000E+6,2.000000E+2,2.000000E-9,1.750000E-7,NaN,NaN
3.411300E+1,2.000000E+6,2.000000E+2,3.000000E-9,2.050000E-7,NaN,NaN
3.954300E+1,2.000000E+6,2.000000E+2,3.000000E-9,2.360000E-7,NaN,NaN
4.583700E+1,2.000000E+6,2.000000E+2,3.000000E-9,2.740000E-7,NaN,NaN
5.313300E+1,2.000000E+6,2.000000E+2,3.000000E-9,3.180000E-7,NaN,NaN
6.159100E+1,2.000000E+6,2.000000E+2,4.000000E-9,3.680000E-7,NaN,NaN
7.139500E+1,2.000000E+6,2.000000E+2,4.000000E-9,4.260000E-7,NaN,NaN
8.275900E+1,2.000000E+6,2.000000E+2,4.000000E-9,4.940000E-7,NaN,NaN
9.593200E+1,2.000000E+6,-2.000000E+2,5.000000E-9,5.720000E-7,NaN,NaN
1.112020E+2,2.000000E+6,-2.000000E+2,6.000000E-9,6.620000E-7,NaN,NaN
1.289030E+2,2.000000E+6,-2.000000E+2,7.000000E-9,7.670000E-7,NaN,NaN
1.494220E+2,1.126000E+6,-8.940000E+1,8.000000E-9,8.890000E-7,NaN,NaN
1.732060E+2,9.720000E+5,-8.940000E+1,1.000000E-8,1.029000E-6,NaN,NaN
2.007770E+2,8.390000E+5,-8.950000E+1,1.200000E-8,1.192000E-6,NaN,NaN
2.327360E+2,7.250000E+5,-8.940000E+1,1.300000E-8,1.380000E-6,NaN,NaN
2.697820E+2,6.260000E+5,-8.940000E+1,1.600000E-8,1.599000E-6,NaN,NaN
3.127250E+2,5.400000E+5,-8.940000E+1,1.800000E-8,1.851000E-6,NaN,NaN
3.625040E+2,4.670000E+5,-8.940000E+1,2.100000E-8,2.143000E-6,NaN,NaN
4.202060E+2,4.029000E+5,-8.943000E+1,2.500000E-8,2.482000E-6,NaN,NaN
4.870930E+2,3.479000E+5,-8.943000E+1,2.900000E-8,2.874000E-6,NaN,NaN
5.646270E+2,3.005000E+5,-8.943000E+1,3.300000E-8,3.328000E-6,NaN,NaN
