==========
==========
F (Hz),Z,Phi,R,X,L,C
8.567466E+4,4.855000E-4,8.927000E+1,6.200000E-6,4.855000E-4,NaN,NaN
9.931210E+4,5.621000E-4,8.926000E+1,7.300000E-6,5.620000E-4,NaN,NaN
1.151203E+5,6.508000E-4,8.924000E+1,8.600000E-6,6.507000E-4,NaN,NaN
1.334448E+5,7.534000E-4,8.923000E+1,1.010000E-5,7.533000E-4,NaN,NaN
1.546861E+5,8.721000E-4,8.921000E+1,1.200000E-5,8.721000E-4,NaN,NaN
1.793086E+5,1.009600E-3,8.921000E+1,1.390000E-5,1.009500E-3,NaN,NaN
2.078504E+5,1.168800E-3,8.919000E+1,1.640000E-5,1.168600E-3,NaN,NaN
2.409354E+5,1.353000E-3,8.921000E+1,1.900000E-5,1.353000E-3,NaN,NaN
2.792867E+5,1.567000E-3,8.919000E+1,2.200000E-5,1.567000E-3,NaN,NaN
3.237427E+5,1.814000E-3,8.918000E+1,2.600000E-5,1.814000E-3,NaN,NaN
3.752751E+5,2.100000E-3,8.916000E+1,3.100000E-5,2.099000E-3,NaN,NaN
4.350102E+5,2.430000E-3,8.915000E+1,3.600000E-5,2.430000E-3,NaN,NaN
5.042538E+5,2.813000E-3,8.914000E+1,4.200000E-5,2.813000E-3,NaN,NaN
5.845194E+5,3.257000E-3,8.912000E+1,5.000000E-5,3.256000E-3,NaN,NaN
6.775614E+5,3.770000E-3,8.911000E+1,5.900000E-5,3.769000E-3,NaN,NaN
7.854136E+5,4.363000E-3,8.909000E+1,6.900000E-5,4.363000E-3,NaN,NaN
9.104333E+5,5.050000E-3,8.908000E+1,8.100000E-5,5.050000E-3,NaN,NaN
1.055353E+6,5.846000E-3,8.906000E+1,9.600000E-5,5.845000E-3,NaN,NaN
1.223341E+6,6.767000E-3,8.904000E+1,1.130000E-4,6.766000E-3,NaN,NaN
1.418069E+6,7.832000E-3,8.902000E+1,1.330000E-4,7.831000E-3,NaN,NaN
1.643793E+6,9.066000E-3,8.901000E+1,1.570000E-4,9.065000E-3,NaN,NaN
1.905447E+6,1.049500E-2,8.899000E+1,1.860000E-4,1.049400E-2,NaN,NaN
2.208750E+6,1.215100E-2,8.897000E+1,2.190000E-4,1.214900E-2,NaN,NaN
2.560332E+6,1.407000E-2,8.895000E+1,2.600000E-4,1.407000E-2,NaN,NaN
2.967878E+6,1.629000E-2,8.893000E+1,3.100000E-4,1.629000E-2,NaN,NaN
3.440296E+6,1.888000E-2,8.891000E+1,3.600000E-4,1.887000E-2,NaN,NaN
3.987911E+6,2.187000E-2,8.888000E+1,4.300000E-4,2.187000E-2,NaN,NaN
4.622695E+6,2.536000E-2,8.886000E+1,5.000000E-4,2.535000E-2,NaN,NaN
5.358521E+6,2.942000E-2,8.884000E+1,5.900000E-4,2.941000E-2,NaN,NaN
6.211474E+6,3.417000E-2,8.882000E+1,7.000000E-4,3.416000E-2,NaN,NaN
7.200198E+6,3.973000E-2,8.879000E+1,8.400000E-4,3.972000E-2,NaN,NaN
8.346303E+6,4.629000E-2,8.874000E+1,1.010000E-3,4.627000E-2,NaN,NaN
9.674842E+6,5.406000E-2,8.867000E+1,1.250000E-3,5.404000E-2,NaN,NaN
1.121485E+7,6.335000E-2,8.857000E+1,1.570000E-3,6.333000E-2,NaN,NaN
1.300000E+7,7.464000E-2,8.843000E+1,2.050000E-3,7.460000E-2,NaN,NaN
