==========
==========
F (Hz),Z,Phi,R,X,L,C
6.376068E+4,2.551000E+3,-8.858000E+1,8.400000E-6,3.936000E-4,NaN,NaN
7.390991E+4,2.204000E+3,-8.878000E+1,8.900000E-6,4.544000E-4,NaN,NaN
8.567466E+4,1.897000E+3,-8.866000E+1,1.310000E-5,5.254000E-4,NaN,NaN
9.931210E+4,1.644000E+3,-8.856000E+1,1.490000E-5,6.083000E-4,NaN,NaN
1.151203E+5,1.420000E+3,-8.853000E+1,1.910000E-5,7.048000E-4,NaN,NaN
1.334448E+5,1.226000E+3,-8.834000E+1,2.450000E-5,8.166000E-4,NaN,NaN
1.546861E+5,1.053300E+3,-9.016000E+1,4.100000E+1,-1.060400E+3,NaN,NaN
1.793086E+5,9.214000E+2,-8.738000E+1,3.270000E+1,-9.146000E+2,NaN,NaN
2.078504E+5,7.916000E+2,-8.783000E+1,2.870000E+1,-7.944000E+2,NaN,NaN
2.409354E+5,6.822000E+2,-8.756000E+1,3.010000E+1,-6.812000E+2,NaN,NaN
2.792867E+5,5.896000E+2,-8.725000E+1,2.870000E+1,-5.884000E+2,NaN,NaN
3.237427E+5,5.110000E+2,-8.684000E+1,2.870000E+1,-5.080000E+2,NaN,NaN
3.752751E+5,4.418000E+2,-8.655000E+1,2.690000E+1,-4.413000E+2,NaN,NaN
4.350102E+5,3.811000E+2,-8.607000E+1,2.470000E+1,-3.825000E+2,NaN,NaN
5.042538E+5,3.283000E+2,-8.551000E+1,2.530000E+1,-3.293000E+2,NaN,NaN
5.845194E+5,2.846000E+2,-8.515000E+1,2.400000E+1,-2.848000E+2,NaN,NaN
6.775614E+5,2.464000E+2,-8.439000E+1,2.370000E+1,-2.456000E+2,NaN,NaN
7.854136E+5,2.132000E+2,-8.368000E+1,2.360000E+1,-2.121000E+2,NaN,NaN
9.104333E+5,1.844000E+2,-8.285000E+1,2.300000E+1,-1.829000E+2,NaN,NaN
1.055353E+6,1.598000E+2,-8.190000E+1,2.260000E+1,-1.580000E+2,NaN,NaN
1.223341E+6,1.383000E+2,-8.072000E+1,2.230000E+1,-1.365000E+2,NaN,NaN
1.418069E+6,1.199000E+2,-7.946000E+1,2.220000E+1,-1.178000E+2,NaN,NaN
1.643793E+6,1.047000E+2,-7.805000E+1,2.157000E+1,-1.017400E+2,NaN,NaN
1.905447E+6,9.037000E+1,-7.635000E+1,2.148000E+1,-8.774000E+1,NaN,NaN
2.208750E+6,7.863000E+1,-7.437000E+1,2.140000E+1,-7.565000E+1,NaN,NaN
2.560332E+6,6.851000E+1,-7.199000E+1,2.118000E+1,-6.513000E+1,NaN,NaN
2.967878E+6,5.995000E+1,-6.952000E+1,2.124000E+1,-5.618000E+1,NaN,NaN
3.440296E+6,5.266000E+1,-6.654000E+1,2.096000E+1,-4.835000E+1,NaN,NaN
3.987911E+6,4.654000E+1,-6.334000E+1,2.088000E+1,-4.146000E+1,NaN,NaN
4.622695E+6,4.114000E+1,-5.979000E+1,2.076000E+1,-3.555000E+1,NaN,NaN
5.358521E+6,3.679000E+1,-5.571000E+1,2.073000E+1,-3.046000E+1,NaN,NaN
6.211474E+6,3.313000E+1,-5.122000E+1,2.067000E+1,-2.585000E+1,NaN,NaN
7.200198E+6,3.019000E+1,-4.669000E+1,2.077000E+1,-2.198000E+1,NaN,NaN
8.346303E+6,2.775000E+1,-4.162000E+1,2.078000E+1,-1.849000E+1,NaN,NaN
9.674842E+6,2.588000E+1,-3.646000E+1,2.086000E+1,-1.538000E+1,NaN,NaN
1.121485E+7,2.447000E+1,-3.102000E+1,2.100000E+1,-1.261000E+1,NaN,NaN
1.300000E+7,2.345000E+1,-2.551000E+1,2.112000E+1,-1.009000E+1,NaN,NaN
