==========
==========
F (Hz),Z,Phi,R,X,L,C
5.000000E+0,2.000000E+6,-2.000000E+2,1.600000E-9,2.660000E-8,NaN,NaN
5.796000E+0,2.000000E+6,2.000000E+2,1.000000E-9,3.240000E-8,NaN,NaN
6.718000E+0,2.000000E+6,2.000000E+2,2.200000E-9,3.800000E-8,NaN,NaN
7.788000E+0,2.000000E+6,2.000000E+2,1.400000E-9,4.460000E-8,NaN,NaN
9.028000E+0,2.000000E+6,2.000000E+2,1.800000E-9,5.260000E-8,NaN,NaN
1.046500E+1,2.000000E+6,2.000000E+2,1.400000E-9,6.060000E-8,NaN,NaN
1.213000E+1,2.000000E+6,2.000000E+2,1.200000E-9,7.180000E-8,NaN,NaN
1.406100E+1,2.000000E+6,2.000000E+2,1.600000E-9,8.300000E-8,NaN,NaN
1.629900E+1,2.000000E+6,2.000000E+2,1.600000E-9,9.680000E-8,NaN,NaN
1.889400E+1,2.000000E+6,2.000000E+2,1.600000E-9,1.124000E-7,NaN,NaN
2.190100E+1,2.000000E+6,2.000000E+2,2.200000E-9,1.304000E-7,NaN,NaN
2.538700E+1,2.000000E+6,2.000000E+2,2.000000E-9,1.512000E-7,NaN,NaN
2.942800E+1,2.000000E+6,2.000000E+2,2.000000E-9,1.752000E-7,NaN,NaN
3.411300E+1,2.000000E+6,2.000000E+2,2.200000E-9,2.036000E-7,NaN,NaN
3.954300E+1,2.000000E+6,2.000000E+2,2.600000E-9,2.354000E-7,NaN,NaN
4.583700E+1,2.000000E+6,2.000000E+2,2.800000E-9,2.730000E-7,NaN,NaN
5.313300E+1,2.000000E+6,2.000000E+2,3.000000E-9,3.164000E-7,NaN,NaN
6.159100E+1,2.000000E+6,2.000000E+2,3.000000E-9,3.664000E-7,NaN,NaN
7.139500E+1,2.000000E+6,2.000000E+2,4.000000E-9,4.250000E-7,NaN,NaN
8.275900E+1,2.000000E+6,2.000000E+2,4.400000E-9,4.926000E-7,NaN,NaN
9.593200E+1,2.000000E+6,-2.000000E+2,5.200000E-9,5.700000E-7,NaN,NaN
1.112020E+2,2.000000E+6,-2.000000E+2,6.000000E-9,6.608000E-7,NaN,NaN
1.289030E+2,2.000000E+6,-2.000000E+2,7.000000E-9,7.650000E-7,NaN,NaN
1.494220E+2,1.128800E+6,-8.950000E+1,8.000000E-9,8.860000E-7,NaN,NaN
1.732060E+2,9.746000E+5,-8.950000E+1,9.800000E-9,1.026000E-6,NaN,NaN
2.007770E+2,8.412000E+5,-8.950000E+1,1.100000E-8,1.188600E-6,NaN,NaN
2.327360E+2,7.270000E+5,-8.948000E+1,1.300000E-8,1.376000E-6,NaN,NaN
2.697820E+2,6.270000E+5,-8.950000E+1,1.500000E-8,1.594000E-6,NaN,NaN
3.127250E+2,5.420000E+5,-8.948000E+1,1.800000E-8,1.845800E-6,NaN,NaN
3.625040E+2,4.680000E+5,-8.946000E+1,2.080000E-8,2.137000E-6,NaN,NaN
4.202060E+2,4.040400E+5,-8.944000E+1,2.400000E-8,2.475000E-6,NaN,NaN
4.870930E+2,3.489000E+5,-8.944000E+1,2.800000E-8,2.866000E-6,NaN,NaN
