==========
==========
F (Hz),Z,Phi,R,X,L,C
5.646270E+2,3.013000E+5,-8.944000E+1,3.240000E-8,3.319000E-6,NaN,NaN
6.545020E+2,2.602000E+5,-8.943600E+1,3.800000E-8,3.843400E-6,NaN,NaN
7.586840E+2,2.246800E+5,-8.942800E+1,4.500000E-8,4.451000E-6,NaN,NaN
8.794490E+2,1.940000E+5,-8.942000E+1,5.200000E-8,5.154000E-6,NaN,NaN
1.019437E+3,1.675000E+5,-8.941200E+1,6.100000E-8,5.968000E-6,NaN,NaN
1.181708E+3,1.447000E+5,-8.941000E+1,7.140000E-8,6.911000E-6,NaN,NaN
1.369809E+3,1.249200E+5,-8.940000E+1,8.320000E-8,8.003000E-6,NaN,NaN
1.587850E+3,1.078960E+5,-8.940800E+1,9.760000E-8,9.266600E-6,NaN,NaN
1.840600E+3,9.318000E+4,-8.940200E+1,1.140000E-7,1.072920E-5,NaN,NaN
2.133581E+3,8.047200E+4,-8.939800E+1,1.300000E-7,1.243000E-5,NaN,NaN
2.473198E+3,6.949600E+4,-8.939200E+1,1.500000E-7,1.439000E-5,NaN,NaN
2.866874E+3,6.002000E+4,-8.939000E+1,1.800000E-7,1.666000E-5,NaN,NaN
3.323214E+3,5.183000E+4,-8.939000E+1,2.100000E-7,1.929000E-5,NaN,NaN
3.852193E+3,4.476000E+4,-8.939000E+1,2.400000E-7,2.234000E-5,NaN,NaN
4.465373E+3,3.865200E+4,-8.939000E+1,2.800000E-7,2.587000E-5,NaN,NaN
5.176157E+3,3.338000E+4,-8.938000E+1,3.200000E-7,2.995600E-5,NaN,NaN
6.000082E+3,2.883000E+4,-8.938000E+1,3.800000E-7,3.469000E-5,NaN,NaN
6.955157E+3,2.490000E+4,-8.937200E+1,4.400000E-7,4.016400E-5,NaN,NaN
8.062258E+3,2.150000E+4,-8.937000E+1,5.140000E-7,4.650800E-5,NaN,NaN
9.345583E+3,1.857000E+4,-8.936000E+1,6.000000E-7,5.385000E-5,NaN,NaN
1.083318E+4,1.604000E+4,-8.935400E+1,7.000000E-7,6.235000E-5,NaN,NaN
1.255758E+4,1.385000E+4,-8.935000E+1,8.200000E-7,7.219000E-5,NaN,NaN
1.455645E+4,1.196000E+4,-8.934000E+1,9.600000E-7,8.358400E-5,NaN,NaN
1.687351E+4,1.032780E+4,-8.936200E+1,1.128000E-6,9.677400E-5,NaN,NaN
1.955938E+4,8.919200E+3,-8.935800E+1,1.300000E-6,1.121000E-4,NaN,NaN
2.267278E+4,7.703000E+3,-8.935000E+1,1.500000E-6,1.298000E-4,NaN,NaN
2.628177E+4,6.653000E+3,-8.934000E+1,1.700000E-6,1.503000E-4,NaN,NaN
3.046522E+4,5.746000E+3,-8.933000E+1,2.000000E-6,1.740000E-4,NaN,NaN
3.531458E+4,4.962800E+3,-8.932000E+1,2.400000E-6,2.015000E-4,NaN,NaN
4.093584E+4,4.286000E+3,-8.931000E+1,2.800000E-6,2.333000E-4,NaN,NaN
4.745189E+4,3.702000E+3,-8.930200E+1,3.300000E-6,2.701000E-4,NaN,NaN
5.500513E+4,3.197000E+3,-8.929400E+1,3.880000E-6,3.127400E-4,NaN,NaN
6.376068E+4,2.761000E+3,-8.928800E+1,4.500000E-6,3.621000E-4,NaN,NaN
7.390991E+4,2.385000E+3,-8.927400E+1,5.300000E-6,4.192000E-4,NaN,NaN
8.567466E+4,2.060000E+3,-8.926800E+1,6.200000E-6,4.854000E-4,NaN,NaN
9.931210E+4,1.779000E+3,-8.925800E+1,7.300000E-6,5.619600E-4,NaN,NaN
1.151203E+5,1.537000E+3,-8.924400E+1,8.540000E-6,6.506000E-4,NaN,NaN
1.334448E+5,1.328000E+3,-8.923000E+1,1.008000E-5,7.531800E-4,NaN,NaN
1.546861E+5,1.147000E+3,-8.921800E+1,1.190000E-5,8.719000E-4,NaN,NaN
1.793086E+5,9.904400E+2,-8.923600E+1,1.322000E+1,-9.903400E+2,NaN,NaN
2.078504E+5,8.554400E+2,-8.922000E+1,1.160000E+1,-8.553400E+2,NaN,NaN
2.409354E+5,7.389000E+2,-8.921000E+1,1.018000E+1,-7.388800E+2,NaN,NaN
2.792867E+5,6.383000E+2,-8.920000E+1,8.900000E+0,-6.382600E+2,NaN,NaN
3.237427E+5,5.514000E+2,-8.918800E+1,7.800000E+0,-5.513600E+2,NaN,NaN
3.752751E+5,4.763000E+2,-8.917400E+1,6.880000E+0,-4.763000E+2,NaN,NaN
4.350102E+5,4.115000E+2,-8.916000E+1,6.000000E+0,-4.114200E+2,NaN,NaN
5.042538E+5,3.555000E+2,-8.915000E+1,5.300000E+0,-3.554200E+2,NaN,NaN
5.845194E+5,3.071000E+2,-8.913600E+1,4.600000E+0,-3.071000E+2,NaN,NaN
6.775614E+5,2.653000E+2,-8.912000E+1,4.100000E+0,-2.653000E+2,NaN,NaN
7.854136E+5,2.292000E+2,-8.911000E+1,3.600000E+0,-2.292000E+2,NaN,NaN
9.104333E+5,1.980000E+2,-8.910000E+1,3.100000E+0,-1.980000E+2,NaN,NaN
1.055353E+6,1.711000E+2,-8.908000E+1,2.700000E+0,-1.711000E+2,NaN,NaN
1.223341E+6,1.478000E+2,-8.907000E+1,2.400000E+0,-1.478000E+2,NaN,NaN
1.418069E+6,1.277000E+2,-8.905000E+1,2.100000E+0,-1.277000E+2,NaN,NaN
1.643793E+6,1.103000E+2,-8.904000E+1,1.900000E+0,-1.103000E+2,NaN,NaN
1.905447E+6,9.529000E+1,-8.902600E+1,1.620000E+0,-9.528000E+1,NaN,NaN
2.208750E+6,8.231200E+1,-8.901000E+1,1.420000E+0,-8.230000E+1,NaN,NaN
2.560332E+6,7.109600E+1,-8.900000E+1,1.240000E+0,-7.108800E+1,NaN,NaN
2.967878E+6,6.139000E+1,-8.899000E+1,1.080000E+0,-6.138000E+1,NaN,NaN
3.440296E+6,5.300000E+1,-8.898000E+1,9.440000E-1,-5.299000E+1,NaN,NaN
3.987911E+6,4.574000E+1,-8.897000E+1,8.200000E-1,-4.573000E+1,NaN,NaN
4.622695E+6,3.945800E+1,-8.896000E+1,7.120000E-1,-3.945000E+1,NaN,NaN
5.358521E+6,3.401000E+1,-8.895800E+1,6.200000E-1,-3.400600E+1,NaN,NaN
6.211474E+6,2.929000E+1,-8.895000E+1,5.400000E-1,-2.929000E+1,NaN,NaN
7.200198E+6,2.520000E+1,-8.894000E+1,4.660000E-1,-2.519000E+1,NaN,NaN
8.346303E+6,2.163800E+1,-8.892400E+1,4.100000E-1,-2.163200E+1,NaN,NaN
9.674842E+6,1.853600E+1,-8.888800E+1,3.600000E-1,-1.853000E+1,NaN,NaN
1.121485E+7,1.582200E+1,-8.882800E+1,3.220000E-1,-1.582000E+1,NaN,NaN
1.300000E+7,1.344800E+1,-8.871600E+1,3.000000E-1,-1.344000E+1,NaN,NaN
