==========
==========
F (Hz),Z,Phi,R,X,L,C
5.000000E+0,2.000000E+6,-2.000000E+2,-9.000000E-8,1.730000E-7,NaN,NaN
5.796000E+0,2.000000E+6,-2.000000E+2,-1.410000E-7,3.448000E-7,NaN,NaN
6.718000E+0,2.000000E+6,-4.000000E+1,-3.888000E-7,4.802000E-7,NaN,NaN
7.788000E+0,1.771400E+6,-1.940600E+2,-3.416000E-7,8.200000E-8,NaN,NaN
9.028000E+0,1.699600E+6,-1.080600E+2,-1.946000E-7,1.046000E-7,NaN,NaN
1.046500E+1,2.000000E+6,2.000000E+2,-2.886000E-7,3.932000E-7,NaN,NaN
1.213000E+1,1.808200E+6,1.346200E+2,-2.862000E-7,4.246000E-7,NaN,NaN
1.406100E+1,2.000000E+6,2.000000E+2,-4.540000E-8,3.650000E-7,NaN,NaN
1.629900E+1,2.000000E+6,2.000000E+2,1.310000E-7,2.346000E-7,NaN,NaN
1.889400E+1,2.000000E+6,-1.200000E+2,-1.206000E-7,1.366000E-7,NaN,NaN
2.190100E+1,2.000000E+6,-2.000000E+2,2.860000E-8,3.544000E-7,NaN,NaN
2.538700E+1,2.000000E+6,-4.000000E+1,4.860000E-8,3.588000E-7,NaN,NaN
2.942800E+1,2.000000E+6,2.000000E+2,8.880000E-8,3.502000E-7,NaN,NaN
3.411300E+1,2.000000E+6,2.000000E+2,-2.060000E-8,3.368000E-7,NaN,NaN
3.954300E+1,2.000000E+6,2.000000E+2,4.260000E-8,2.482000E-7,NaN,NaN
4.583700E+1,2.000000E+6,1.200000E+2,1.020000E-8,2.734000E-7,NaN,NaN
5.313300E+1,2.000000E+6,2.000000E+2,-5.840000E-8,2.898000E-7,NaN,NaN
6.159100E+1,1.797800E+6,-4.860000E+0,5.600000E-8,2.916000E-7,NaN,NaN
7.139500E+1,1.832000E+6,-1.861800E+2,-3.260000E-8,3.414000E-7,NaN,NaN
8.275900E+1,1.754200E+6,-1.097800E+2,-1.872000E-7,6.704000E-7,NaN,NaN
9.593200E+1,1.833600E+6,-1.772600E+2,1.666000E-7,6.708000E-7,NaN,NaN
1.112020E+2,2.000000E+6,-2.000000E+2,8.980000E-8,6.762000E-7,NaN,NaN
1.289030E+2,1.237200E+6,-8.996000E+1,1.000000E-9,8.080000E-7,NaN,NaN
1.494220E+2,1.067600E+6,-8.994000E+1,1.000000E-9,9.370000E-7,NaN,NaN
1.732060E+2,9.210000E+5,-8.992000E+1,1.000000E-9,1.086000E-6,NaN,NaN
2.007770E+2,7.948000E+5,-8.990000E+1,1.400000E-9,1.258800E-6,NaN,NaN
2.327360E+2,6.860000E+5,-8.990000E+1,2.000000E-9,1.458400E-6,NaN,NaN
2.697820E+2,5.916000E+5,-8.990000E+1,2.600000E-9,1.691000E-6,NaN,NaN
3.127250E+2,5.102000E+5,-8.990000E+1,3.000000E-9,1.959200E-6,NaN,NaN
3.625040E+2,4.400000E+5,-8.990000E+1,4.000000E-9,2.271000E-6,NaN,NaN
4.202060E+2,3.800000E+5,-8.988800E+1,5.000000E-9,2.631800E-6,NaN,NaN
4.870930E+2,3.279000E+5,-8.988000E+1,6.200000E-9,3.050000E-6,NaN,NaN
5.646270E+2,2.829000E+5,-8.987000E+1,8.000000E-9,3.535000E-6,NaN,NaN
6.545020E+2,2.441000E+5,-8.986000E+1,1.000000E-8,4.096000E-6,NaN,NaN
7.586840E+2,2.106000E+5,-8.984000E+1,1.320000E-8,4.747400E-6,NaN,NaN
8.794490E+2,1.818000E+5,-8.982000E+1,1.700000E-8,5.501000E-6,NaN,NaN
1.019437E+3,1.569000E+5,-8.980000E+1,2.200000E-8,6.375000E-6,NaN,NaN
1.181708E+3,1.354000E+5,-8.978600E+1,2.760000E-8,7.387000E-6,NaN,NaN
1.369809E+3,1.168000E+5,-8.976800E+1,3.480000E-8,8.559400E-6,NaN,NaN
1.587850E+3,1.008200E+5,-8.976000E+1,4.300000E-8,9.917000E-6,NaN,NaN
1.840600E+3,8.701400E+4,-8.974200E+1,5.000000E-8,1.149000E-5,NaN,NaN
2.133581E+3,7.510000E+4,-8.972200E+1,6.200000E-8,1.331600E-5,NaN,NaN
2.473198E+3,6.482200E+4,-8.970200E+1,8.000000E-8,1.543000E-5,NaN,NaN
2.866874E+3,5.595000E+4,-8.968600E+1,1.000000E-7,1.787000E-5,NaN,NaN
3.323214E+3,4.830000E+4,-8.967000E+1,1.200000E-7,2.070000E-5,NaN,NaN
3.852193E+3,4.169000E+4,-8.965000E+1,1.500000E-7,2.399000E-5,NaN,NaN
4.465373E+3,3.599000E+4,-8.963200E+1,1.800000E-7,2.779000E-5,NaN,NaN
5.176157E+3,3.106400E+4,-8.961200E+1,2.200000E-7,3.219000E-5,NaN,NaN
6.000082E+3,2.682000E+4,-8.959600E+1,2.600000E-7,3.729000E-5,NaN,NaN
6.955157E+3,2.315000E+4,-8.957000E+1,3.200000E-7,4.319000E-5,NaN,NaN
8.062258E+3,1.999000E+4,-8.955000E+1,3.900000E-7,5.003000E-5,NaN,NaN
9.345583E+3,1.726000E+4,-8.953000E+1,4.780000E-7,5.794000E-5,NaN,NaN
1.083318E+4,1.490000E+4,-8.951000E+1,5.780000E-7,6.710000E-5,NaN,NaN
1.255758E+4,1.287000E+4,-8.949000E+1,6.940000E-7,7.771000E-5,NaN,NaN
1.455645E+4,1.111000E+4,-8.946600E+1,8.400000E-7,8.999800E-5,NaN,NaN
1.687351E+4,9.591200E+3,-8.948000E+1,1.008000E-6,1.042200E-4,NaN,NaN
1.955938E+4,8.282200E+3,-8.946000E+1,1.100000E-6,1.207000E-4,NaN,NaN
2.267278E+4,7.152000E+3,-8.944000E+1,1.400000E-6,1.398000E-4,NaN,NaN
2.628177E+4,6.176200E+3,-8.942000E+1,1.600000E-6,1.619000E-4,NaN,NaN
3.046522E+4,5.334000E+3,-8.940000E+1,2.000000E-6,1.875000E-4,NaN,NaN
3.531458E+4,4.607000E+3,-8.938200E+1,2.300000E-6,2.171000E-4,NaN,NaN
