==========
==========
F (Hz),Z,Phi,R,X,L,C
4.093584E+4,3.979000E+3,-8.937000E+1,2.800000E-6,2.513000E-4,NaN,NaN
4.745189E+4,3.436000E+3,-8.935200E+1,3.300000E-6,2.910000E-4,NaN,NaN
5.500513E+4,2.968000E+3,-8.934000E+1,3.900000E-6,3.369000E-4,NaN,NaN
6.376068E+4,2.564000E+3,-8.933000E+1,4.600000E-6,3.900000E-4,NaN,NaN
7.390991E+4,2.214000E+3,-8.932000E+1,5.400000E-6,4.516000E-4,NaN,NaN
8.567466E+4,1.913000E+3,-8.931000E+1,6.300000E-6,5.228000E-4,NaN,NaN
9.931210E+4,1.652000E+3,-8.930800E+1,7.360000E-6,6.052000E-4,NaN,NaN
1.151203E+5,1.427000E+3,-8.930000E+1,8.520000E-6,7.005400E-4,NaN,NaN
1.334448E+5,1.233000E+3,-8.929800E+1,9.940000E-6,8.109600E-4,NaN,NaN
1.546861E+5,1.054980E+3,-8.752400E+1,3.664000E+1,-1.060440E+3,NaN,NaN
1.793086E+5,9.157600E+2,-8.799000E+1,3.352000E+1,-9.175600E+2,NaN,NaN
2.078504E+5,7.937000E+2,-8.757000E+1,3.304000E+1,-7.877800E+2,NaN,NaN
2.409354E+5,6.843800E+2,-8.735200E+1,3.070000E+1,-6.846800E+2,NaN,NaN
2.792867E+5,5.898000E+2,-8.726000E+1,3.086000E+1,-5.903600E+2,NaN,NaN
3.237427E+5,5.111400E+2,-8.676400E+1,2.700000E+1,-5.094400E+2,NaN,NaN
3.752751E+5,4.417200E+2,-8.640800E+1,2.576000E+1,-4.415400E+2,NaN,NaN
4.350102E+5,3.815200E+2,-8.609200E+1,2.524000E+1,-3.799200E+2,NaN,NaN
5.042538E+5,3.302400E+2,-8.574600E+1,2.426000E+1,-3.289000E+2,NaN,NaN
5.845194E+5,2.846800E+2,-8.523400E+1,2.430000E+1,-2.840400E+2,NaN,NaN
6.775614E+5,2.464200E+2,-8.444600E+1,2.350000E+1,-2.453800E+2,NaN,NaN
7.854136E+5,2.131400E+2,-8.368400E+1,2.296000E+1,-2.119200E+2,NaN,NaN
9.104333E+5,1.842800E+2,-8.296600E+1,2.258000E+1,-1.828800E+2,NaN,NaN
1.055353E+6,1.595800E+2,-8.205200E+1,2.224000E+1,-1.581200E+2,NaN,NaN
1.223341E+6,1.382400E+2,-8.087200E+1,2.166000E+1,-1.364400E+2,NaN,NaN
1.418069E+6,1.196800E+2,-7.963000E+1,2.154000E+1,-1.178200E+2,NaN,NaN
1.643793E+6,1.040620E+2,-7.811600E+1,2.133800E+1,-1.016960E+2,NaN,NaN
1.905447E+6,9.033400E+1,-7.648200E+1,2.108800E+1,-8.776200E+1,NaN,NaN
2.208750E+6,7.851600E+1,-7.460800E+1,2.088600E+1,-7.571000E+1,NaN,NaN
2.560332E+6,6.848000E+1,-7.237600E+1,2.074000E+1,-6.526400E+1,NaN,NaN
2.967878E+6,5.986400E+1,-6.988400E+1,2.062400E+1,-5.616400E+1,NaN,NaN
3.440296E+6,5.254800E+1,-6.699800E+1,2.050600E+1,-4.832800E+1,NaN,NaN
3.987911E+6,4.628600E+1,-6.380200E+1,2.043000E+1,-4.153600E+1,NaN,NaN
4.622695E+6,4.103000E+1,-6.015000E+1,2.037800E+1,-3.559000E+1,NaN,NaN
5.358521E+6,3.662600E+1,-5.619200E+1,2.030400E+1,-3.040800E+1,NaN,NaN
6.211474E+6,3.290800E+1,-5.191400E+1,2.030200E+1,-2.593800E+1,NaN,NaN
7.200198E+6,2.991400E+1,-4.720600E+1,2.030000E+1,-2.197600E+1,NaN,NaN
8.346303E+6,2.748600E+1,-4.225000E+1,2.034600E+1,-1.849400E+1,NaN,NaN
9.674842E+6,2.557000E+1,-3.704000E+1,2.043200E+1,-1.539600E+1,NaN,NaN
1.121485E+7,2.410600E+1,-3.162000E+1,2.052200E+1,-1.261800E+1,NaN,NaN
1.300000E+7,2.306600E+1,-2.607000E+1,2.071800E+1,-1.012400E+1,NaN,NaN
