Energy (eV),Absorption (OD)
3.1,1.0053862861845657
3.092269326683292,1.0027809864839117
3.084577114427861,0.9999368127597227
3.076923076923077,0.9969568979855575
3.0693069306930694,0.9939443751349751
3.0617283950617282,0.9910023771815366
3.0541871921182264,0.9885287823033644
3.0466830466830466,0.9862027467398919
3.0392156862745097,0.983927575934183
3.031784841075795,0.9816154980391278
3.024390243902439,0.9796088351845247
3.017031630170316,0.9779386134210911
3.0097087378640777,0.9765813337592
3.002421307506053,0.9755238884540938
2.995169082125604,0.9743076766352583
2.9879518072289155,0.9729261303966537
2.980769230769231,0.9718349596296931
2.973621103117506,0.9702193448410702
2.9665071770334928,0.9680884313316318
2.9594272076372317,0.9656035131728209
2.9523809523809526,0.9635465602182944
2.9453681710213777,0.9613367568984121
2.938388625592417,0.9597815143283592
2.9314420803782504,0.9584943329624347
2.9245283018867925,0.9570979919445902
2.9176470588235293,0.956392214507667
2.9107981220657275,0.9560325358931726
2.9039812646370025,0.9560042372759601
2.897196261682243,0.9564980640753855
2.8904428904428903,0.9573416339857717
2.883720930232558,0.9577839294982493
2.8770301624129933,0.9579619903787941
2.8703703703703702,0.9586165604351639
2.863741339491917,0.9590117999605843
2.857142857142857,0.9594894626698407
2.8505747126436782,0.9596966352544211
2.8440366972477062,0.9602346262623253
2.8375286041189933,0.9615708435511996
2.8310502283105023,0.9632312681118871
2.8246013667425967,0.9649985186170166
2.8181818181818183,0.9660508677034609
2.811791383219955,0.9676485939973613
2.8054298642533935,0.9698383731901993
2.799097065462754,0.9719332479630405
2.7927927927927927,0.9736593495767278
2.7865168539325844,0.9745314909356608
2.780269058295964,0.9761136368264529
2.7740492170022373,0.9775796247803717
2.767857142857143,0.9785259608991203
2.7616926503340755,0.9799138763441889
2.7555555555555555,0.9806888481516634
2.7494456762749446,0.9823866391461338
2.743362831858407,0.9835911399582118
2.7373068432671084,0.9842662985302317
2.7312775330396475,0.9845489248417743
2.7252747252747254,0.9848983217462831
2.719298245614035,0.9853452349169183
2.713347921225383,0.9839644935173726
2.7074235807860263,0.9823011456617605
2.701525054466231,0.9807674164665974
2.6956521739130435,0.9785415521815903
2.6898047722342735,0.9768667955042505
2.683982683982684,0.9735194211765053
2.678185745140389,0.9691675701686822
2.6724137931034484,0.9648379441503188
2.6666666666666665,0.960533170066662
2.6609442060085837,0.9562919237121583
2.6552462526766596,0.9508254857897067
2.6495726495726495,0.9459226141378911
2.6439232409381663,0.9403469611197186
2.6382978723404253,0.9349423118851345
2.632696390658174,0.9293853083552939
2.6271186440677967,0.9224789550578364
2.6215644820295982,0.9148491977278358
2.6160337552742616,0.9074007885080727
2.610526315789474,0.8997664039323952
2.6050420168067228,0.8923624912649066
2.59958071278826,0.8841814904901828
2.594142259414226,0.8764023641609635
2.5887265135699375,0.8680948746544848
2.5833333333333335,0.8604284728803986
2.577962577962578,0.8527951600244645
2.5726141078838176,0.8455017659419025
