==========
==========
F (Hz),Z,Theta,R,X,L,C
7.390991E+4,3.824000E-5,9.001000E+1,-3.333333E-9,3.824000E-5,NaN,NaN
8.567466E+4,4.433000E-5,9.001000E+1,0.000000E+0,4.433000E-5,NaN,NaN
9.931210E+4,5.138000E-5,9.000000E+1,0.000000E+0,5.138000E-5,NaN,NaN
1.151203E+5,5.956000E-5,9.000000E+1,0.000000E+0,5.956000E-5,NaN,NaN
1.334448E+5,6.903667E-5,9.000000E+1,0.000000E+0,6.904000E-5,NaN,NaN
1.546861E+5,8.002000E-5,9.000000E+1,3.333333E-9,8.002000E-5,NaN,NaN
1.793086E+5,9.275667E-5,9.000000E+1,0.000000E+0,9.275667E-5,NaN,NaN
2.078504E+5,1.075133E-4,9.000000E+1,0.000000E+0,1.075167E-4,NaN,NaN
2.409354E+5,1.246133E-4,9.000000E+1,0.000000E+0,1.246133E-4,NaN,NaN
2.792867E+5,1.445000E-4,9.001667E+1,-6.666667E-8,1.445000E-4,NaN,NaN
3.237427E+5,1.675000E-4,9.001667E+1,-3.333333E-8,1.675000E-4,NaN,NaN
3.752751E+5,1.941000E-4,9.001333E+1,-6.666667E-8,1.941000E-4,NaN,NaN
4.350102E+5,2.250000E-4,9.001333E+1,-3.333333E-8,2.250000E-4,NaN,NaN
5.042538E+5,2.608333E-4,9.001000E+1,-6.666667E-8,2.608000E-4,NaN,NaN
5.845194E+5,3.023000E-4,9.001000E+1,-6.666667E-8,3.023000E-4,NaN,NaN
6.775614E+5,3.504667E-4,9.001000E+1,-6.666667E-8,3.504333E-4,NaN,NaN
7.854136E+5,4.062000E-4,9.001000E+1,-1.000000E-7,4.062000E-4,NaN,NaN
9.104333E+5,4.708333E-4,9.001000E+1,-1.000000E-7,4.708667E-4,NaN,NaN
1.055353E+6,5.457667E-4,9.001000E+1,-1.000000E-7,5.457667E-4,NaN,NaN
1.223341E+6,6.326000E-4,9.001000E+1,-1.000000E-7,6.326000E-4,NaN,NaN
1.418069E+6,7.332000E-4,9.001000E+1,-1.000000E-7,7.332333E-4,NaN,NaN
1.643793E+6,8.498000E-4,9.000667E+1,-1.000000E-7,8.498000E-4,NaN,NaN
1.905447E+6,9.849000E-4,9.000000E+1,-6.666667E-8,9.849333E-4,NaN,NaN
2.208750E+6,1.141433E-3,9.000000E+1,0.000000E+0,1.141400E-3,NaN,NaN
2.560332E+6,1.323000E-3,9.006000E+1,-1.000000E-6,1.323000E-3,NaN,NaN
