Energy (eV),Electroabsorption (mOD) - 300.0 V,Electroabsorption (mOD) - 250.0 V,Electroabsorption (mOD) - 200.0 V,Electroabsorption (mOD) - 150.0 V,Electroabsorption (mOD) - 100.0 V
3.3066666666666666,0.49616542581874595,0.42472412840488477,0.29811169004527743,0.3149954665152118,0.41797661454002577
3.297872340425532,0.5046052428082181,0.3375417274084376,0.2733335622744319,0.45105575194044245,0.18447614032046178
3.2891246684350133,0.25723330534352823,0.22941805340700674,0.13182043523759576,0.20908540292862676,0.31163069041531144
3.2804232804232805,0.09902758098583804,0.22838008772780224,0.20892251037405338,0.014225689961241829,0.2723893083864382
3.271767810026385,0.04293857621512027,0.14777169376455473,0.1412692319291698,0.19766750626795584,0.29517423158046363
3.263157894736842,0.047524689112112606,0.10275305333139664,0.1314489948077472,0.27421982554719443,0.2800931344764096
3.254593175853018,0.07901755236005771,0.03785234846762125,0.08672877005307836,0.14354481771570193,0.1566893863490679
3.2460732984293195,0.038594277029569066,0.06398570070173154,0.039197618765141454,0.006754921243131211,0.12181489405073155
3.2375979112271542,-0.023907048381641066,-0.004787425140630393,0.039250157807783466,0.056137426114850994,0.11376998272302766
3.2291666666666665,-0.05613767841668412,-0.048109678002545286,0.0799660947580057,0.12393356832402994,0.12640781253954797
3.220779220779221,-0.07350086618578787,-0.0796052155883739,0.01604722500419071,0.0673542062439651,0.1629651752572
3.2124352331606216,-0.14083226175584737,-0.03353006650291425,0.02459228472735184,-0.001215635612648199,0.13272413223745458
3.204134366925065,-0.13291628000826466,-0.11023533071694373,-0.03946387693841816,-0.0025190798353672394,0.10076001661102349
3.195876288659794,-0.09741433762604947,-0.08929909861856658,0.0008810725204872011,0.010158681663462432,0.02974669250694679
3.1876606683804627,-0.16312841686423032,-0.10724423841123144,-0.025367802454462476,-0.006045894151652492,0.018978221992055948
3.1794871794871793,-0.16283223601638822,-0.13364581313307372,-0.07930400940796374,0.005799796318679123,-0.0028444166513559707
3.1713554987212276,-0.16878453338866076,-0.12070339517494122,-0.09136645960448649,-0.019896137959994627,0.003245662051074501
3.163265306122449,-0.18555369177863926,-0.13787888238017224,-0.05479166287337098,-0.026432419682907406,-0.04037757764022911
3.1552162849872776,-0.185576216957645,-0.11569655709860563,-0.05777736841085821,-0.01958033472799507,-0.013364585592869906
3.1472081218274113,-0.12997265183314036,-0.1126922947966202,-0.05936102845769001,-0.021626956251632076,0.006498035449665162
3.1392405063291138,-0.13699296688290627,-0.13566145669224333,-0.06885210612814617,-0.046599418043595194,0.0036375307239616523
3.1313131313131315,-0.13403531305981747,-0.10431491770212778,-0.053224203249146305,-0.02320904314931751,0.04653889626654195
3.123425692695214,-0.11570709769280739,-0.09231437901340712,-0.06386715049022113,-0.03216031597894268,0.005250241772434812
3.1155778894472363,-0.1131988238663809,-0.10509043031164385,-0.06596070833788674,-0.02024505780934727,0.047768266738116516
3.107769423558897,-0.12197664941088766,-0.0974764577168736,-0.058351172704593404,-0.024970394075860575,0.010892146709921516
3.1,-0.12921140645178208,-0.09835839134573916,-0.05702143798329787,-0.028932401498392376,-0.0029062748535888553
3.092269326683292,-0.14037262010943866,-0.08875107777118556,-0.0541890223891747,-0.03219305061528409,-0.0052529806528185
3.084577114427861,-0.1438005841887847,-0.08595793173932312,-0.06452325789324945,-0.03490989058730617,0.0020262462891635366
3.076923076923077,-0.14274226794424866,-0.10336009590858088,-0.06364170631778775,-0.03656283751425855,-0.0007196342672093621
3.0693069306930694,-0.1594808157873277,-0.11367396951229675,-0.06877244471624448,-0.03717528633086814,-8.766411492390755e-05
3.0617283950617282,-0.15900203007848462,-0.10055632235021854,-0.0648290030180568,-0.043482934029294505,-0.01385666501578834
3.0541871921182264,-0.1587018802463141,-0.12134400387629449,-0.07548166951456257,-0.04852787063485452,-0.025057644785838083
3.0466830466830466,-0.17557841472649305,-0.1276070450227073,-0.07613245821168899,-0.05052304369018466,-0.014498354378093369
3.0392156862745097,-0.1700623935739874,-0.1306030716841975,-0.08155246846877202,-0.043961770863528586,-0.01710632892215992
3.031784841075795,-0.16419433211848397,-0.11905965137743849,-0.08022912095027707,-0.04545491747589943,-0.021299520221181076
3.024390243902439,-0.15273915657669593,-0.11931771371492843,-0.067972037918449,-0.039587626686873316,-0.014866862070507796
3.017031630170316,-0.14030628466902553,-0.11409776991069479,-0.06555883274012547,-0.03841254712624819,-0.015315108651869669
